,Pl.,Club,,Sp.,T,GT,P,P/S,S,OTG,PSG,OTV,PSV,N,+/-,Tendenz,Abfragedatum
,1.,,Dresdner Eislöwen,35,114,92,73,2.09,20,1,3,3,2,6,22,SnSSS,2025-01-04
,2.,,Krefeld Pinguine,33,123,82,64,1.94,15,6,3,1,0,8,41,NSNNs,2025-01-04
,3.,,EC Kassel Huskies,34,107,75,64,1.88,19,0,2,2,1,10,32,NsSSS,2025-01-04
,4.,,Starbulls Rosenheim,32,94,74,56,1.75,14,2,3,3,1,9,20,SsnNS,2025-01-04
,5.,,EHC Freiburg,33,98,92,53,1.61,15,1,1,2,2,12,6,SnNSS,2025-01-04
,6.,,EV Landshut,32,108,86,52,1.63,14,3,0,0,4,11,22,SNsNN,2025-01-04
,7.,,Ravensburg Towerstars,31,96,85,52,1.68,12,3,3,4,0,9,11,SSSNN,2025-01-04
,8.,,Lausitzer Füchse,34,95,101,51,1.50,14,2,1,2,1,14,-6,SNNNS,2025-01-04
,9.,,ESV Kaufbeuren,33,96,117,47,1.42,14,2,0,1,0,16,-21,NNNSN,2025-01-04
,10.,,Eisbären Regensburg,33,83,102,41,1.24,9,2,3,2,2,15,-19,NSnSS,2025-01-04
,11.,,Blue Devils Weiden,32,88,105,39,1.22,11,0,1,1,3,16,-17,sSSNN,2025-01-04
,12.,,EC Bad Nauheim,33,93,109,37,1.12,8,2,1,3,4,15,-16,NNsSn,2025-01-04
,13.,,Selber Wölfe,34,82,119,32,0.94,7,3,1,0,3,20,-37,nSNNN,2025-01-04
,14.,,Eispiraten Crimmitschau,33,80,118,32,0.97,7,2,1,5,0,18,-38,NNSSN,2025-01-04
